insee_code,zip_code,name,latitude,longitude,department_insee_code
01001,01400,l abergement clemenciat,46.153721024,4.925850148,01
01002,01640,l abergement de varey,46.009605679,5.428087796,01
01004,01500,amberieu en bugey,45.961048852,5.372275427,01
01005,01330,amberieux en dombes,45.99616357,4.911967138,01
01006,01300,ambleon,45.749886304,5.594584599,01
01007,01500,ambronay,46.005690539,5.357748739,01
01008,01500,ambutrix,45.936683389,5.332446671,01
01009,01300,andert et condon,45.787194157,5.657799976,01
01010,01350,anglefort,45.909091467,5.795056945,01
01011,01100,apremont,46.205877513,5.657980818,01
01012,01110,aranc,46.001293319,5.510946399,01
01013,01230,arandas,45.890233979,5.498924738,01
01014,01100,arbent,46.283607621,5.690755574,01
01015,01300,arboys en bugey,45.712796712,5.64167722,01
01016,01190,arbigny,46.477598582,4.960100975,01
01017,01230,argis,45.933504727,5.482593252,01
01019,01510,armix,45.854492231,5.583031315,01
01021,01480,ars sur formans,45.993537592,4.821960428,01
01022,01510,artemare,45.869624164,5.690088298,01
01023,01570,asnieres sur saone,46.385206065,4.883700297,01
01024,01340,attignat,46.286061273,5.179817579,01
01025,01380,bage dommartin,46.327468413,4.966993244,01
01026,01380,bage le chatel,46.308270333,4.9298452820000005,01
01027,01360,balan,45.830979009,5.108003865,01
01028,01990,baneins,46.114061723,4.901684997,01
01029,01270,beaupont,46.428649695,5.260337095,01
01030,01480,beauregard,46.000721971,4.756657208,01
01031,01100,bellignat,46.238150086,5.635913808,01
01032,01360,beligneux,45.859311798,5.140369014,01
01033,01200,valserhone,46.124111549,5.796482369,01
01034,01300,belley,45.749882762,5.683910513,01
01035,01130,belleydoux,46.253334104,5.785067125,01
01036,01260,valromey sur seran,45.918185011,5.6568848240000005,01
01037,01470,benonces,45.838144557,5.483119825,01
01038,01370,beny,46.319387367,5.282567061,01
01039,01350,beon,45.856484934,5.752398693,01
01040,01340,bereziat,46.367707398,5.039989868,01
01041,01500,bettant,45.937720512,5.365979513,01
01042,01290,bey,46.219516565,4.846226251,01
01043,01700,beynost,45.839476518,4.99743421,01
01044,01200,billiat,46.079406273,5.765548016,01
01045,01330,birieux,45.953187919,5.037212561,01
01046,01290,biziat,46.226338767,4.941082276,01
01047,01150,blyes,45.847070433,5.251661374,01
01049,01120,la boisse,45.844628451,5.028332382,01
01050,01190,boissey,46.373043501,4.998844748,01
01051,01450,bolozon,46.196340526,5.470453285,01
01052,01330,bouligneux,46.023044402,4.992313384,01
01053,01000,bourg en bresse,46.205013838,5.245593605,01
01054,01800,bourg st christophe,45.886247155,5.143599073,01
01056,01640,boyeux st jerome,46.036053911,5.463119438,01
01057,01190,boz,46.405530214,4.913724,01
